s_m,x_m,y_m,curvature_1_m,track_width_m
66.0,-54.73781710982804,71.69292270389528,-0.02198466541788202,12.0
68.0,-56.623295069519784,72.46402008050708,-0.019778747740935188,12.0
70.0,-58.49124663823164,73.31245783138586,-0.006599195889809683,12.0
72.0,-60.35065834785033,74.18768901097094,0.006298641764706363,12.0
74.0,-62.21143164474482,75.03427102972712,0.019706842484930587,12.0
76.0,-64.08346797528411,75.79676129811915,0.03426805787765903,12.0
78.0,-65.97666878583719,76.41971722661182,0.0499949199648727,12.0
80.0,-67.9009355227731,76.84769622566992,0.06551719183485824,12.0
82.0,-69.86616963246075,77.02525570575821,0.07749745483267002,12.0
84.0,-71.8715588997345,76.90114571791285,0.07977725499837988,12.0
86.0,-73.85228306217394,76.44916496109927,0.08753516935152716,12.0
88.0,-75.71985296239998,75.65237462301866,0.10042328436770324,12.0
90.0,-77.38705623088148,74.4972304903277,0.1004053595548658,12.0
92.0,-78.78780052608533,73.02447514093669,0.09479647513047149,12.0
94.0,-79.8730244923267,71.31862749498721,0.09667070283036637,12.0
96.0,-80.60121499488135,69.46318198900516,0.08216106677553461,12.0
98.0,-81.01983227877413,67.51301854406259,0.05154863147641485,12.0
100.0,-81.23717632713605,65.50345055884974,0.022583247106973903,12.0
102.0,-81.35918821737965,63.469450881338986,0.02226107569448021,12.0
104.0,-81.38079437032553,61.44721659289728,0.05909576164558766,12.0
106.0,-81.16643539984963,59.47438372977622,0.09989561227336347,12.0
108.0,-80.59382490822603,57.58507232562815,0.08327422040708135,12.0
110.0,-79.70192059275175,55.78542474110326,0.05316366899730914,12.0
112.0,-78.60519334743339,54.068480943709396,0.028104582594970947,12.0
114.0,-77.40080830184957,52.42820448057791,0.02717719495910259,12.0
116.0,-76.11257913144242,50.862687924504485,0.026361343457274766,12.0
118.0,-74.74536083616256,49.371091050818,0.02544391244327794,12.0
120.0,-73.30400839087976,47.95257363625911,0.02446076548111808,12.0
122.0,-71.79337677046368,46.60629545756852,0.023444263161440382,12.0
124.0,-70.21832094978413,45.33141629148692,0.02242227925856604,12.0
126.0,-68.58369590371076,44.12709591475497,0.021417837632084533,12.0
128.0,-66.89435660711337,42.99249410411337,0.02044922209641283,12.0
130.0,-65.15515803486164,41.92677063630279,0.01953040296073577,12.0
132.0,-63.37095516182531,40.929085288063945,0.01867164242420249,12.0
134.0,-61.54660296287411,39.99859783613749,0.017880172140476762,12.0
136.0,-59.68695641287778,39.13446805726413,0.017160869556241104,12.0
138.0,-57.796870486706034,38.335855728184534,0.016516889003006806,12.0
140.0,-55.8812001592286,37.601920625639394,0.015950226469548037,12.0
142.0,-53.94480040531521,36.93182252636939,0.015462213307425846,12.0
144.0,-51.99252340721902,36.32521995436657,0.024430255581219053,12.0
146.0,-50.028946816197376,35.8308012860966,0.06135020388120058,12.0
148.0,-48.05814618651532,35.586926890771416,0.10219562227876611,12.0
150.0,-46.08531891710265,35.718245552146534,0.08098560618344196,12.0
