s_m,x_m,y_m,curvature_1_m,track_width_m
0,0,0,0.00087486614460649949,4.5
2,4.6837533851373792E-16,-2,-9.8607613152626476E-32,4.5
4,9.3675067702747544E-16,-4,0.00024146003060564509,4.5
6,0.00096583988328284587,-5.9999994755247599,0.0058819646489147023,4.5
8,0.025458375465046479,-7.9998117235359718,0.017184053654835371,4.5
10,0.11864411174250551,-9.9974346186428917,0.030861732218307087,4.5
12,0.33481902337071273,-11.985060538821893,0.050361762747193527,4.5
14,0.74951498107161885,-13.939874274741129,0.085364949160567541,4.5
16,1.4893147266234454,-15.79354732800674,0.13400182538204392,4.5
18,2.6904037282996489,-17.381259651037976,0.16999558415152863,4.5
20,4.3507464672836447,-18.476739411617817,0.14654897340143297,4.5
22,6.2618958473834407,-19.047618644447859,0.092505261072589454,4.5
24,8.2491948635405734,-19.257706748989452,0.049824045264383221,4.5
26,10.248733408470105,-19.269076494390148,0.023800167860983729,4.5
28,12.246886869174514,-19.185279763656972,0.013218141941007193,4.5
30,14.242156357961523,-19.048693171762103,0.023241704042711198,4.5
32,16.228422650607339,-18.819604649377126,0.058240666603475717,4.5
34,18.173345164001361,-18.361535235079408,0.071352105855847003,4.5
36,20.033380114118899,-17.631526816565483,0.07139962172148219,4.5
38,21.770649769090799,-16.64422469779322,0.069366401674644779,4.5
40,23.355068764909724,-15.425867300461821,0.021307940338556014,4.5
42,24.887157651147682,-14.140292081088738,-9.159339953157571E-16,4.5
44,26.419246537385632,-12.854716861715666,-0.026895573212448065,4.5
46,28.016425302999295,-11.654677709514198,-0.096414787770281479,4.5
48,29.813116352263481,-10.783453750480481,-0.10010991068623348,4.5
50,31.747104746806734,-10.287005510877085,-0.099985106371493659,4.5
52,33.741046981618872,-10.184616246930901,-0.099990820075209125,4.5
54,35.715495522907439,-10.480322327504179,-0.088293169054638215,4.5
56,37.609293423140144,-11.11897952684539,0.052948542608257647,4.5
58,39.557772084069725,-11.553564821220979,0.10002555821123671,4.5
60,41.553739672391572,-11.59234575363158,0.10002608409728683,4.5
62,43.517608504517717,-11.233780101389574,0.10002657922453306,4.5
64,45.371071584470101,-10.492169213738977,0.1000270435916195,4.5
66,47.040224910651233,-9.397087623152732,0.10002747719723766,4.5
68,48.458514196275353,-7.9922036863842196,0.086877127928883024,4.5
70,49.613924561434047,-6.3613674944945577,-0.055296835452213228,4.5
72,50.940577835392546,-4.8696652811560925,-0.10002859343378456,4.5
74,52.537159789380929,-3.6712977921546557,-0.10002890398243433,4.5
76,54.340006514639725,-2.8140470296096671,-0.1000291837644709,4.5
78,56.277229976804428,-2.3320932032818571,-0.10002943277912917,4.5
80,58.271584445155696,-2.2446519412613646,-0.10002965102571486,4.5
82,60.243546530793381,-2.5552081800599473,-0.085440103283325561,4.5
84,62.136316745061166,-3.1973542314919272,0.057726540450630914,4.5
86,64.08801865005816,-3.6168238380236621,0.10001177336664858,4.5
88,66.084157053302789,-3.640220908251226,0.10001113409650773,4.5
90,68.045179183479704,-3.2666081184803253,0.1000097541313712,4.5
92,69.892929785987846,-2.5108648555491864,0.10000763356315538,4.5
94,71.553763771306635,-1.403095027721061,0.055666182486799651,4.5
96,73.083365530386914,-0.11605486774243363,-0.073375172492126009,4.5
98,74.783596386965286,0.93276372072891611,-0.080252246350267675,4.5
100,76.630348478907152,1.6966469809296656,-0.021576507906918729,4.5
102,78.509733720479005,2.380687267581016,-3.6082248300315512E-16,4.5
104,80.389118962050858,3.0647275542323649,1.637578961322028E-15,4.5
106,82.268504203622697,3.7487678408837155,-0.016673624308147554,4.5
108,84.169033973979367,4.3695735902714956,-0.033155370067403565,4.5
110,86.106936799013511,4.8631917557173496,-0.037362665351467587,4.5
112,88.075238551396282,5.2105937342890938,-0.097991197516723458,4.5
114,90.06865020537191,5.1682607099979814,-0.13417347735715565,4.5
116,91.98037264721053,4.5985597267050036,-0.099074456606091224,4.5
118,93.745213935010952,3.6623535643805938,-0.065912275927115446,4.5
120,95.37246693821659,2.5017851735992074,-0.052231042086816469,4.5
122,96.870029577465843,1.1777290576788164,-0.052267032875907712,4.5
124,98.221177753896683,-0.29523843549405782,-0.052877944286581678,4.5
126,99.409533303038813,-1.9029172062141524,-0.012838016584555611,4.5
128,100.55668617574091,-3.5412212947921273,-2.8310687127941934E-15,4.5
130,101.70383904844299,-5.1795253833701018,-3.3306690738755386E-16,4.5
132,102.85099192114507,-6.8178294719480785,5.273559366969607E-16,4.5
134,103.99814479384715,-8.4561335605260517,2.6367796834847898E-15,4.5
136,105.14529766654924,-10.094437649104027,0.00030635510878075303,4.5
138,106.29345317852327,-11.732037202382292,0.0086005429383257479,4.5
140,107.46954756354425,-13.349566432696649,0.028085268965995593,4.5
142,108.73435012090837,-14.898218210307954,0.05581720616426928,4.5
144,110.16282047401531,-16.295386463097415,0.091342926778940126,4.5
146,111.81898108203953,-17.408306423499994,0.11842742324938881,4.5
148,113.68983521072576,-18.101484066156509,0.094779708072697116,4.5
150,115.66112460695899,-18.430316472771906,0.040040959868041924,4.5
152,117.65372105883952,-18.60053387110613,0.014453710238875666,4.5
154,119.65047007060809,-18.713092302547942,0.023286537369536849,4.5
156,121.6502190304856,-18.732563930646982,0.0048685352085379224,4.5
158,123.6502190304856,-18.732563930646982,8.8817841970012523E-16,4.5
160,125.6502190304856,-18.732563930646979,-6.3108872417680272E-30,4.5
162,127.65021903048562,-18.732563930646975,-8.8817841970011892E-16,4.5
164,129.6502190304856,-18.732563930646975,8.8817841970014732E-16,4.5
166,131.65021903048557,-18.732563930646972,-8.8817841970013785E-16,4.5
