jounce_mm,damperStroke_mm,motionRatio_local,toe_deg,camber_deg,caster_deg,kpi_deg,scrubRadiusRaw_mm,casterTrailRaw_mm,statusFlag
-10,-1.92090486951682,0.159575560162231,0.077361152787276,0.134776468588552,3.78561984555658,3.68929256070837,48.9846304862813,9.34875752549662,1
0,0,0.225039050526385,0,0,4.07,3.83,47.2952994982624,10.9350953731262,1
10,2.6059378711753,0.298696931010326,0.0262720924386088,-0.149075376263716,4.35533965664477,3.9795575254702,45.5250608634046,12.4898842822556,1
20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
